COUNTRY_CODE,REPORT_COUNT,MAX_RATIO,MIN_RATIO,AVG_RATIO
AFG,3,83.2,17.6,61.03333333333334
ALB,3,98.5,97.8,98.10000000000001
ARG,3,100,100,100
AUS,3,96,95,95.33333333333333
AUT,3,100,97.5,98.76666666666667
BEL,3,100,97.2,98.33333333333333
BEN,3,100,64.9,82.43333333333334
BGD,3,95.9,88.9,91.93333333333334
BGR,3,100,98.6,99.53333333333335
BLZ,3,100,100,100
BOL,3,100,92.3,97.43333333333334
BRA,3,100,100,100
BRB,3,96,91,93.66666666666667
CAN,3,99.4,99,99.2
CHE,3,100,100,100
CHL,3,100,98,98.66666666666667
CHN,3,100,100,100
CIV,3,65,56.6,60
CMR,3,92.1,60.9,75.66666666666667
COD,3,88.5,44.8,70.5
COL,3,100,100,100
CRI,3,100,100,100
CUB,3,100,98.5,99.36666666666667
CYP,3,100,97,99
CZE,3,100,98.9,99.63333333333333
DEU,3,100,100,100
DNK,3,100,99,99.66666666666667
DOM,3,100,96.5,98.56666666666666
DZA,3,100,88.4,94.46666666666665
ECU,3,100,100,100
EGY,3,100,95.4,98.46666666666665
ESP,3,100,100,100
FIN,3,100,99,99.33333333333333
FJI,3,100,98.8,99.60000000000001
FRA,3,100,99.7,99.89999999999999
GBR,3,100,100,100
GHA,3,100,81.7,88.83333333333333
GMB,3,85.2,82.3,83.33333333333333
GRC,3,100,96,98.66666666666667
GTM,3,100,88.9,95.93333333333334
GUY,3,100,82.6,94.2
HKG,3,97.2,95.2,96.5
HND,3,100,97.4,99.13333333333333
HTI,3,99.1,97.4,98.3
HUN,3,100,95.9,98.26666666666667
IDN,3,100,100,100
IND,3,100,92,97.33333333333333
IRL,3,100,100,100
IRN,3,100,95.6,98.06666666666666
IRQ,3,97.1,84.2,92.33333333333333
ISL,3,100,98,99
ITA,3,100,100,100
JAM,3,94.6,92.1,93.33333333333333
JOR,3,100,98.4,99.46666666666665
JPN,3,100,100,100
KEN,3,100,90.4,96.8
KHM,3,100,80.3,93.43333333333334
KOR,3,100,100,100
KWT,3,100,100,100
LBR,3,100,87.4,93.96666666666665
LBY,3,98.9,97.1,98.03333333333335
LKA,3,100,97.2,98.5
LSO,3,96.4,88,92.46666666666665
LUX,3,96.6,93.3,94.96666666666665
MAR,3,100,80.6,90.73333333333333
MEX,3,100,97.3,98.89999999999999
MLI,3,78.4,51.2,64.89999999999999
MLT,3,94.5,94.1,94.26666666666667
MMR,3,100,97.5,99.16666666666667
MOZ,3,100,56.6,82.36666666666666
MUS,3,100,100,100
MWI,3,100,100,100
MYS,3,100,98,99.33333333333333
NER,3,62.1,29.9,46.43333333333333
NIC,3,100,95.8,98.60000000000001
NLD,3,100,98,99
NOR,3,100,99,99.33333333333333
NPL,3,100,92.3,95.66666666666667
NZL,3,98,96,97
PAK,3,90.9,67.9,80.06666666666668
PAN,3,99.1,96.4,98.06666666666668
PER,3,100,100,100
PHL,3,100,100,100
POL,3,98.2,96.3,97.23333333333333
PRT,3,100,100,100
PRY,3,100,92.4,97.46666666666665
REU,3,95.4,91.9,93.7
ROU,3,100,89.9,95.06666666666666
RUS,3,100,94.5,97.63333333333333
SDN,3,60.4,43.5,52.666666666666664
SEN,3,78.7,58.7,69.60000000000001
SLE,3,100,60.5,80.26666666666667
SLV,3,100,97.1,99.03333333333335
SRB,3,100,95.5,98.5
SWE,3,100,96,98.66666666666667
SWZ,3,98.5,79.7,87.8
SYR,3,100,100,100
TGO,3,100,82.5,89.86666666666667
THA,3,94.5,88.1,90.53333333333335
TTO,3,99.3,93.8,96.60000000000001
TUN,3,100,97.3,99.10000000000001
TUR,3,100,98.9,99.63333333333333
TWN,3,99,98,98.66666666666667
UGA,3,100,100,100
URY,3,100,99.3,99.76666666666667
USA,3,100,99,99.66666666666667
VEN,3,99.2,94.2,97.10000000000001
YEM,3,86,65.2,78.60000000000001
ZAF,3,98.5,97.6,98.2
ZMB,3,100,78.8,92.93333333333334
ZWE,3,100,97,98.43333333333334
