COUNTRY_CODE,REPORT_COUNT,MAX_RATE,MIN_RATE,AVG_RATE
AFG,10,61.87907,4.987460136413574,32.3325471384165
ALB,18,99.49808,94.68180847167969,98.13331683688259
DZA,18,95.74706,35.83992004394531,77.56845970683757
ASM,4,97.8886184692383,97.21990966796875,97.5055351247998
AGO,8,84.86238,53.40721130371094,71.6127849886377
ATG,6,99.41999816894531,98.40000153,98.90999984947264
ARG,34,99.48,93.58088684082031,98.28047578530732
ARM,16,99.9105682373047,98.15013885498047,99.6301740413684
ABW,10,99.3231,96.71977996826172,98.02188417107813
AZE,44,100,98.1747817993164,99.8060071101225
BHR,16,98.61991,58.59109115600586,88.10823335439025
BGD,40,93.53532,17.971630096435547,59.64255810185351
BRB,12,99.8000030517578,99.25155639648438,99.57159741621257
BLR,14,99.87651062011719,96.62821960449219,99.49962047085378
BLZ,6,79.8089294433594,70.26876831,75.50308227544923
BEN,22,63.94092,9.538960456848145,36.467620800270886
BTN,10,90.39581,38.680660247802734,66.99292121169726
BOL,36,99.75361,51.37464904785156,91.8669485064719
BIH,14,99.84363,81.9593276977539,97.13634588098634
BWA,10,95.59602,65.38694,83.83288661366211
BRA,56,99.25031,72.8531494140625,92.6918891376207
BRN,18,99.54606,68.84182739257812,93.37033435066624
BGR,8,98.74723053,97.65106,98.16395685631592
BFA,34,56.994890000000005,3.390589952468872,26.648125491555806
BDI,22,85.29008,11.983570098876953,54.5840266312085
KHM,20,89.38368,56.99250030517578,78.9930263592871
CMR,18,89.41731999999999,29.116130828857422,71.92962931094347
CPV,14,98.73018,52.998619079589844,85.33526840120116
CYM,4,99.14231,98.62333000000001,98.87737649140136
CAF,16,72.59475,8.399580001831055,40.85156335416047
TCD,20,55.6862,4.591829776763916,28.57335707520294
CHL,32,99.60537,90.80011749267578,97.08544760681886
CHN,18,99.68961999999999,51.136810302734375,89.646079326977
COL,56,98.97285,90.97265625,95.32012560167446
COM,14,83.95133,40.31761932373047,62.86836488852889
COG,10,86.43431091,49.001338958740234,75.6497377226924
CRI,14,99.25811999999999,92.57713317871094,96.66557901837892
CIV,22,93.14134979,23.433780670166016,50.33462854319425
HRV,12,99.73572,94.81722259521484,98.85751647139973
CUB,8,99.95741,99.70606232,99.84571771928957
CYP,12,99.83830999999999,91.00177764892578,98.1986626917448
COD,16,91.04756,46.104251861572266,73.46850587012207
DOM,38,98.25251999999999,72.53607940673828,91.72863474278373
ECU,54,99.33717,80.40522766113281,94.40243531137445
EGY,34,93.64928,22.43800926208496,69.63558978887798
SLV,44,98.43374,71.28053283691406,89.1827534632089
GNQ,6,97.6079,81.62300109863281,93.09297187083659
ERI,10,91.28661,40.22441864013672,71.84071993374998
EST,12,99.95904,99.60147857666016,99.83009889771323
SWZ,18,94.74849,53.665958404541016,80.09103075902506
ETH,18,62.97093,17.97719955444336,40.89988087572888
GAB,10,94.4075469970703,65.32630920410156,84.21394882010938
GMB,10,65.97576,25.06155014038086,49.021193346326164
GEO,12,99.86236,99.29474639892578,99.61895933442872
GHA,10,88.31075,49.791961669921875,73.07657023756444
GRC,30,99.67996,85.31999206542969,96.66529746362109
GRD,12,99.07742309570308,97.58978271484375,98.52331034327311
GUM,8,99.9000015258789,95.3572616577148,97.82270431511962
GTM,22,95.48186,57.292659759521484,81.01804542647284
GIN,18,59.46236999999999,9.743069648742676,33.619827313806695
GNB,12,74.80124,8.58825969696045,44.9317525838617
GUY,8,97.03701,82.43656158,90.06222862327148
HTI,14,82.65737,32.524959564208984,58.54630271449776
HND,40,97.24561,79.78523254,89.79242116144728
HUN,8,99.42166137695308,98.45413208007812,99.13123798360594
IND,22,90.04483,25.676250457763672,64.79848799388539
IDN,44,99.70176,57.69462966918945,93.66732049421897
IRN,44,98.33391999999999,24.423080444335938,81.22120101162244
IRQ,16,91.19999695,48.63865,76.5938148009961
ISR,4,99.05457305908199,88.67472076416016,95.18468093761228
ITA,14,99.8687,95.53666687011719,98.89589222537529
JAM,6,96.29552,74.08184052,86.61680464168946
JOR,30,99.32879,52.11061096191406,93.88818158070897
KAZ,18,99.94014,96.1387710571289,99.52640561315106
KEN,14,93.30951999999999,66.86312103271484,82.46123464864817
KWT,54,99.78759000000001,48.01520919799805,90.23968211725443
KGZ,10,99.79959000000001,98.13063049316406,99.4010357076836
LAO,22,89.96128082,47.90235900878906,72.96631923064143
