report_id,country_code,rate,gender
1,AFG,30.3077507,male
2,AFG,45.417099,male
3,AFG,52.06343079,male
4,ALB,99.18760681,male
5,ALB,97.30619812,male
6,ALB,98.00816345,male
7,ALB,98.35260773,male
8,ALB,98.51361847,male
9,DZA,63.37742996,male
10,DZA,79.18669128,male
11,DZA,81.28404236,male
12,DZA,82.6158371,male
13,DZA,87.42295837,male
14,ASM,97.46996307,male
15,AGO,82.91986847,male
16,AGO,79.97415161,male
17,ATG,98.40000153,male
18,ATG,98.40000153,male
19,ATG,98.40000153,male
20,ARG,94.26338959,male
21,ARG,96.17405701,male
22,ARG,97.19319916,male
23,ARG,98.72718811,male
24,ARG,98.96272278,male
25,ARG,98.98532104,male
26,ARG,99.22830963,male
27,ARG,99.11112976,male
28,ARG,99.15602875,male
29,ARG,99.06124878,male
30,ARG,99.14824677,male
31,ARG,99.1049881,male
32,ARG,98.93773651,male
33,ARM,99.40384674,male
34,ARM,99.67223358,male
35,ARM,99.80608368,male
36,ARM,99.80549622,male
37,ARM,99.84332275,male
38,ABW,97.53739929,male
39,ABW,96.94052887,male
40,ABW,97.80013275,male
41,AZE,99.47241974,male
42,AZE,99.82096863,male
43,AZE,99.84266663,male
44,AZE,99.85443878,male
45,AZE,99.85665894,male
46,AZE,99.85285187,male
47,AZE,99.86592102,male
48,AZE,99.86200714,male
49,AZE,99.86263275,male
50,AZE,99.86405182,male
51,AZE,99.86374664,male
52,AZE,99.86824036,male
53,BHR,76.51837158,male
54,BHR,88.53736877,male
55,BHR,88.55410767,male
56,BHR,92.14543915,male
57,BGD,39.7322998,male
58,BGD,44.31428146,male
59,BGD,53.89609146,male
60,BGD,49.8323288,male
61,BGD,62.48305893,male
62,BGD,61.54286957,male
63,BGD,64.21376801,male
64,BGD,64.36508942,male
65,BGD,68.05535889,male
66,BGD,75.61885071,male
67,BGD,75.70236206,male
68,BGD,76.66925812,male
69,BGD,77.44149017,male
70,BGD,77.81671143,male
71,BRB,99.28723145,male
72,BRB,99.59999847,male
73,BRB,99.59999847,male
74,BRB,99.59999847,male
75,BRB,99.59999847,male
76,BLR,99.38417816,male
77,BLR,99.79210663,male
78,BLR,99.76368713,male
79,BLR,99.87095642,male
80,BLZ,70.26876831,male
81,BLZ,76.68373108,male
82,BEN,25.19005966,male
83,BEN,39.90332031,male
84,BEN,47.86595917,male
85,BEN,40.61616898,male
86,BEN,44.96025848,male
87,BEN,53.97703171,male
88,BTN,65.0477829,male
89,BTN,66.00305939,male
90,BTN,75.01985168,male
91,BOL,75.84288788,male
92,BOL,88.15558624,male
93,BOL,93.05747223,male
94,BOL,96.03626251,male
95,BOL,94.95542908,male
96,BOL,95.80364227,male
97,BOL,96.60105133,male
98,BOL,97.10704803,male
99,BOL,96.52275085,male
100,BIH,96.30541992,male
101,BIH,99.03370667,male
102,BIH,99.54132843,male
103,BIH,99.17627716,male
104,BWA,65.38694,male
105,BWA,80.43010712,male
106,BWA,86.12213898,male
107,BRA,76.37735748,male
108,BRA,86.22798157,male
109,BRA,88.40946198,male
110,BRA,89.35324097,male
111,BRA,89.7721405,male
112,BRA,89.83786774,male
113,BRA,90.17484283,male
114,BRA,90.05618286,male
115,BRA,91.16898346,male
116,BRA,91.02567291,male
117,BRA,91.17796326,male
118,BRA,91.36676788,male
119,BRA,91.72515869,male
120,BRA,92.57515717,male
121,BRA,92.8915329,male
122,BRA,93.00904083,male
123,BRN,85.1368103,male
124,BRN,92.45218658,male
125,BRN,95.15042114,male
126,BRN,97.42816162,male
127,BRN,98.05361938,male
128,BGR,98.73660278,male
129,BGR,98.74723053,male
130,BFA,14.52849007,male
131,BFA,19.62612915,male
132,BFA,18.51778984,male
133,BFA,29.36199951,male
134,BFA,31.37454987,male
135,BFA,29.71435928,male
136,BFA,36.57479858,male
137,BFA,44.37945175,male
138,BFA,49.17272949,male
139,BDI,34.26271057,male
140,BDI,48.23625183,male
141,BDI,67.30693054,male
142,BDI,53.12839127,male
143,BDI,69.58728027,male
144,BDI,76.29605103,male
145,KHM,79.48217773,male
146,KHM,84.68000793,male
147,KHM,84.98745728,male
148,KHM,83.93267822,male
149,KHM,84.81414795,male
150,KHM,86.53244019,male
151,CMR,54.62984848,male
152,CMR,79.19451904,male
153,CMR,78.9499588,male
154,CMR,78.32769012,male
155,CMR,82.6280365,male
156,CPV,74.75926971,male
157,CPV,83.83760834,male
158,CPV,90.47450256,male
159,CPV,91.69143677,male
160,CYM,98.72238922,male
161,CAF,29.5929203,male
162,CAF,48.02030182,male
163,CAF,66.78952789,male
164,CAF,50.71271133,male
165,CAF,49.51459122,male
166,TCD,18.26059914,male
167,TCD,40.8270607,male
168,TCD,39.3682518,male
169,TCD,38.91820145,male
170,TCD,31.32879066,male
171,CHL,91.48053741,male
172,CHL,94.5630722,male
173,CHL,95.79640961,male
174,CHL,97.70249939,male
175,CHL,97.88935852,male
176,CHL,96.89878082,male
177,CHL,96.38800812,male
178,CHL,97.02468872,male
179,CHL,96.48062897,male
180,CHN,79.19178009,male
181,CHN,87.02497864,male
182,CHN,95.13524628,male
183,CHN,97.47946167,male
184,CHN,98.46653748,male
185,COL,90.97265625,male
186,COL,91.0891037,male
187,COL,92.9041214,male
188,COL,92.77794647,male
189,COL,92.39279938,male
190,COL,92.42970276,male
191,COL,93.31687927,male
192,COL,93.06253815,male
193,COL,93.25019073,male
194,COL,93.48825836,male
195,COL,93.86740112,male
196,COL,94.06317139,male
197,COL,94.40228271,male
198,COL,94.85182953,male
199,COL,95.01589203,male
200,COL,95.38252258,male
201,COM,55.97703934,male
202,COM,74.51403809,male
203,COM,56.47980118,male
204,COM,64.64420319,male
205,COG,71.32911682,male
206,COG,86.04982758,male
207,COG,86.43431091,male
208,COG,86.07650757,male
209,CRI,92.68213654,male
210,CRI,94.650177,male
211,CRI,97.30632782,male
212,CRI,97.80235291,male
213,CIV,44.36354065,male
214,CIV,43.94641876,male
215,CIV,60.86066055,male
216,CIV,51.59267044,male
217,CIV,50.70190048,male
218,CIV,93.14134979,male
219,HRV,98.75705719,male
220,HRV,99.32058716,male
221,HRV,99.62970734,male
