report_id,country_code,rate,year
1,AFG,30.3077507,1979
2,AFG,45.417099,2011
3,AFG,52.06343079,2021
4,ALB,99.18760681,2001
5,ALB,97.30619812,2008
6,ALB,98.00816345,2011
7,ALB,98.35260773,2012
8,ALB,98.51361847,2018
9,DZA,63.37742996,1987
10,DZA,79.18669128,2002
11,DZA,81.28404236,2006
12,DZA,82.6158371,2008
13,DZA,87.42295837,2018
14,ASM,97.46996307,1980
15,AGO,82.91986847,2001
16,AGO,79.97415161,2014
17,ATG,98.40000153,2001
18,ATG,98.40000153,2011
19,ATG,98.40000153,2015
20,ARG,94.26338959,1980
21,ARG,96.17405701,1991
22,ARG,97.19319916,2001
23,ARG,98.72718811,2006
24,ARG,98.96272278,2009
25,ARG,98.98532104,2010
26,ARG,99.22830963,2011
27,ARG,99.11112976,2012
28,ARG,99.15602875,2013
29,ARG,99.06124878,2014
30,ARG,99.14824677,2015
31,ARG,99.1049881,2016
32,ARG,98.93773651,2018
33,ARM,99.40384674,1989
34,ARM,99.67223358,2001
35,ARM,99.80608368,2011
36,ARM,99.80549622,2017
37,ARM,99.84332275,2020
38,ABW,97.53739929,2000
39,ABW,96.94052887,2010
40,ABW,97.80013275,2018
41,AZE,99.47241974,1999
42,AZE,99.82096863,2007
43,AZE,99.84266663,2009
44,AZE,99.85443878,2010
45,AZE,99.85665894,2011
46,AZE,99.85285187,2012
47,AZE,99.86592102,2013
48,AZE,99.86200714,2014
49,AZE,99.86263275,2015
50,AZE,99.86405182,2016
51,AZE,99.86374664,2017
52,AZE,99.86824036,2019
53,BHR,76.51837158,1981
54,BHR,88.53736877,1991
55,BHR,88.55410767,2001
56,BHR,92.14543915,2010
57,BGD,39.7322998,1981
58,BGD,44.31428146,1991
59,BGD,53.89609146,2001
60,BGD,49.8323288,2007
61,BGD,62.48305893,2011
62,BGD,61.54286957,2012
63,BGD,64.21376801,2013
64,BGD,64.36508942,2014
65,BGD,68.05535889,2015
66,BGD,75.61885071,2016
67,BGD,75.70236206,2017
68,BGD,76.66925812,2018
69,BGD,77.44149017,2019
70,BGD,77.81671143,2020
71,BRB,99.28723145,1970
72,BRB,99.59999847,1984
73,BRB,99.59999847,1994
74,BRB,99.59999847,2004
75,BRB,99.59999847,2014
76,BLR,99.38417816,1989
77,BLR,99.79210663,1999
78,BLR,99.76368713,2009
79,BLR,99.87095642,2019
80,BLZ,70.26876831,1991
81,BLZ,76.68373108,2000
82,BEN,25.19005966,1979
83,BEN,39.90332031,1992
84,BEN,47.86595917,2002
85,BEN,40.61616898,2006
86,BEN,44.96025848,2012
87,BEN,53.97703171,2018
88,BTN,65.0477829,2005
89,BTN,66.00305939,2012
90,BTN,75.01985168,2017
91,BOL,75.84288788,1976
92,BOL,88.15558624,1992
93,BOL,93.05747223,2001
94,BOL,96.03626251,2007
95,BOL,94.95542908,2008
96,BOL,95.80364227,2009
97,BOL,96.60105133,2011
98,BOL,97.10704803,2012
99,BOL,96.52275085,2015
100,BIH,96.30541992,1991
101,BIH,99.03370667,2000
102,BIH,99.54132843,2011
103,BIH,99.17627716,2013
104,BWA,65.38694,1991
105,BWA,80.43010712,2003
106,BWA,86.12213898,2013
107,BRA,76.37735748,1980
108,BRA,86.22798157,2000
109,BRA,88.40946198,2004
110,BRA,89.35324097,2006
111,BRA,89.7721405,2007
112,BRA,89.83786774,2008
113,BRA,90.17484283,2009
114,BRA,90.05618286,2010
115,BRA,91.16898346,2011
116,BRA,91.02567291,2012
117,BRA,91.17796326,2013
118,BRA,91.36676788,2014
119,BRA,91.72515869,2015
120,BRA,92.57515717,2016
121,BRA,92.8915329,2017
122,BRA,93.00904083,2018
123,BRN,85.1368103,1981
124,BRN,92.45218658,1991
125,BRN,95.15042114,2001
126,BRN,97.42816162,2011
127,BRN,98.05361938,2018
128,BGR,98.73660278,2001
129,BGR,98.74723053,2011
130,BFA,14.52849007,1975
131,BFA,19.62612915,1991
132,BFA,18.51778984,1996
133,BFA,29.36199951,2003
134,BFA,31.37454987,2005
135,BFA,29.71435928,2006
136,BFA,36.57479858,2007
137,BFA,44.37945175,2014
138,BFA,49.17272949,2018
139,BDI,34.26271057,1979
140,BDI,48.23625183,1990
141,BDI,67.30693054,2000
142,BDI,53.12839127,2008
143,BDI,69.58728027,2014
144,BDI,76.29605103,2017
145,KHM,79.48217773,1998
146,KHM,84.68000793,2004
147,KHM,84.98745728,2008
148,KHM,83.93267822,2009
149,KHM,84.81414795,2014
150,KHM,86.53244019,2015
151,CMR,54.62984848,1976
152,CMR,79.19451904,2000
153,CMR,78.9499588,2007
154,CMR,78.32769012,2010
155,CMR,82.6280365,2018
156,CPV,74.75926971,1990
157,CPV,83.83760834,2000
158,CPV,90.47450256,2012
159,CPV,91.69143677,2015
160,CYM,98.72238922,2007
161,CAF,29.5929203,1975
162,CAF,48.02030182,1988
163,CAF,66.78952789,2000
164,CAF,50.71271133,2010
165,CAF,49.51459122,2018
166,TCD,18.26059914,1993
167,TCD,40.8270607,2000
168,TCD,39.3682518,2004
169,TCD,38.91820145,2015
170,TCD,31.32879066,2016
171,CHL,91.48053741,1982
172,CHL,94.5630722,1992
173,CHL,95.79640961,2002
174,CHL,97.70249939,2008
175,CHL,97.88935852,2009
