report_id,COUNTRY_CODE,RATE,YEAR,GENDER,AGE,RATIO
25,ARG,98.98532104,2010,male,adult,100
81,BLZ,76.68373108,2000,male,adult,100
108,BRA,86.22798157,2000,male,adult,100
114,BRA,90.05618286,2010,male,adult,100
152,CMR,79.19451904,2000,male,adult,60.9
154,CMR,78.32769012,2010,male,adult,92.1
182,CHN,95.13524628,2000,male,adult,100
183,CHN,97.47946167,2010,male,adult,100
188,COL,92.77794647,2005,male,adult,100
193,COL,93.25019073,2010,male,adult,100
210,CRI,94.650177,2000,male,adult,100
215,CIV,60.86066055,2000,male,adult,58.4
234,DOM,89.37703705,2010,male,adult,99.2
247,ECU,93.31687164,2010,male,adult,100
259,EGY,77.91013336,2005,male,adult,100
261,EGY,80.26864624,2010,male,adult,100
270,SLV,87.09970093,2010,male,adult,100
288,SWZ,83.15461731,2000,male,adult,79.7
289,SWZ,83.90014648,2010,male,adult,98.5
299,GMB,48.98115158,2000,male,adult,82.3
306,GHA,66.35128021,2000,male,adult,81.7
307,GHA,78.34890747,2010,male,adult,100
312,GRC,95.45005798,2005,male,adult,100
346,HND,84.78900909,2010,male,adult,100
380,IRN,88.01032257,2005,male,adult,98.6
387,IRQ,84.08740997,2000,male,adult,84.2
402,JOR,95.17645264,2005,male,adult,100
404,JOR,95.76724243,2010,male,adult,98.4
413,KEN,87.49465942,2000,male,adult,90.4
421,KWT,94.44603729,2005,male,adult,100
425,KWT,95.54531097,2010,male,adult,100
448,LSO,79.99578094,2000,male,adult,96.4
472,MWI,72.09764862,2010,male,adult,100
477,MYS,91.96923828,2000,male,adult,98
478,MYS,95.43374634,2010,male,adult,100
494,MLI,43.40063095,2010,male,adult,78.4
501,MLT,91.18657684,2005,male,adult,94.5
510,MUS,88.2278595,2000,male,adult,100
520,MEX,92.55937195,2000,male,adult,99.4
523,MEX,93.1904068,2005,male,adult,97.3
528,MEX,94.38394165,2010,male,adult,100
566,MMR,93.924263,2000,male,adult,97.5
584,NIC,78.09642792,2005,male,adult,100
587,NER,42.92736816,2005,male,adult,47.3
610,PAK,64.06047821,2005,male,adult,81.4
615,PAK,68.90061188,2010,male,adult,90.9
645,PAN,92.54792786,2000,male,adult,98.7
646,PAN,94.70741272,2010,male,adult,96.4
656,PRY,94.8131485,2010,male,adult,92.4
668,PER,93.7183075,2005,male,adult,100
681,PHL,92.54499817,2000,male,adult,100
718,RUS,99.72830963,2010,male,adult,98.4
783,ZAF,94.14385223,2010,male,adult,98.5
796,ESP,98.61746979,2005,male,adult,100
801,ESP,98.52571106,2010,male,adult,100
814,LKA,92.57846832,2010,male,adult,98.3
819,SDN,71.58101654,2000,male,adult,43.5
839,THA,94.90157318,2000,male,adult,94.5
840,THA,95.60024261,2005,male,adult,89
841,THA,96.43502045,2010,male,adult,88.1
849,TGO,68.72573853,2000,male,adult,82.5
862,TTO,98.75,2000,male,adult,96.7
863,TTO,99.13999939,2010,male,adult,99.3
868,TUN,87.37573242,2010,male,adult,100
877,TUR,96.00061798,2005,male,adult,100
881,TUR,97.29981232,2010,male,adult,100
895,UGA,82.63139343,2010,male,adult,100
911,URY,97.61016846,2010,male,adult,100
954,ZMB,88.68402863,2010,male,adult,100
984,ARG,98.92807006835938,2010,female,adult,100
1040,BLZ,77.12272644042969,2000,female,adult,100
1067,BRA,86.50005340576172,2000,female,adult,100
1073,BRA,90.68170166015625,2010,female,adult,100
1111,CMR,58.72175979614258,2000,female,adult,60.9
1113,CMR,64.79949951171875,2010,female,adult,92.1
1141,CHN,86.52660369873047,2000,female,adult,100
1142,CHN,92.71122741699219,2010,female,adult,100
1147,COL,92.91124725341797,2005,female,adult,100
1152,COL,93.4867935180664,2010,female,adult,100
1169,CRI,95.0807876586914,2000,female,adult,100
1174,CIV,38.61450958251953,2000,female,adult,58.4
1193,DOM,89.69730377197266,2010,female,adult,99.2
1206,ECU,90.47010803222656,2010,female,adult,100
1218,EGY,56.121551513671875,2005,female,adult,100
1220,EGY,63.51580810546875,2010,female,adult,100
1229,SLV,82.30802154541016,2010,female,adult,100
1247,SWZ,80.32875061035156,2000,female,adult,79.7
1248,SWZ,82.44754791259766,2010,female,adult,98.5
1258,GMB,25.06155014038086,2000,female,adult,82.3
1265,GHA,49.791961669921875,2000,female,adult,81.7
1266,GHA,65.29469299316406,2010,female,adult,100
1271,GRC,90.76541137695312,2005,female,adult,100
1305,HND,84.72502899169922,2010,female,adult,100
1339,IRN,76.80264282226562,2005,female,adult,98.6
