COUNTRY_CODE,REPORT_COUNT,MAX_PERCENTAGE,MIN_PERCENTAGE,AVG_PERCENTAGE
ALB,2,72.47414,68.22726,70.3507
AND,2,100,100,100
BHR,2,96.26799,95.99429,96.13114
BRB,1,100,100,100
BLR,1,99.43706999999999,99.43706999999999,99.43706999999999
BLZ,2,46.500640000000004,28.82378,37.66221
BEN,2,100,66.97951,83.489755
BMU,1,100,100,100
BWA,2,99.53284000000001,98.63651,99.084675
BRN,1,47.82717,47.82717,47.82717
BFA,1,85.58639000000001,85.58639000000001,85.58639000000001
BDI,2,94.04415,91.44112,92.742635
KHM,2,100,100,100
CMR,1,57.514559999999996,57.514559999999996,57.514559999999996
CPV,1,91.23103,91.23103,91.23103
CYM,1,88.11881,88.11881,88.11881
COL,2,94.25102,92.25733000000001,93.254175
COM,1,75.05784,75.05784,75.05784
CIV,2,89.55503,88.27089000000001,88.91296
CUB,2,81.39035,80.43943,80.91489
COD,1,100,100,100
DJI,2,100,83.46253,91.73126500000001
DMA,2,91.68242,64.81481,78.248615
DOM,2,81.26632,81.26603,81.266175
EGY,2,85.15630999999999,83.75706,84.456685
ERI,1,99.67742,99.67742,99.67742
SWZ,1,65.78112,65.78112,65.78112
ETH,1,54.3563,54.3563,54.3563
GMB,1,84.1104,84.1104,84.1104
GHA,2,54.69452,50.02265,52.358585
GRD,2,53.714290000000005,48.66962,51.19195500000001
GIN,2,74.1184,70.69693000000001,72.40766500000001
HKG,2,100,100,100
IRN,2,100,100,100
JAM,2,95.66155,69.75549000000001,82.70852000000001
KAZ,2,100,100,100
KIR,1,96.90554,96.90554,96.90554
KWT,2,77.36805,76.42531,76.89668
KGZ,2,73.69431999999999,73.02015,73.357235
LAO,2,82.62515,78.90181,80.76348
LSO,2,75.7858,72.03285,73.909325
MAC,2,100,100,100
MDG,1,99.30696,99.30696,99.30696
MYS,2,100,100,100
MDV,2,90.1202,86.05711,88.08865499999999
MUS,2,100,100,100
MNG,2,99.57279,97.93064,98.75171499999999
MAR,2,100,100,100
MOZ,2,89.95685,87.32589,88.64137
NRU,1,50,50,50
NPL,2,93.85136999999999,91.89711,92.87423999999999
NER,2,100,100,100
PSE,2,46.79377,43.93159,45.36268
PAN,1,100,100,100
PRY,1,86.61728000000001,86.61728000000001,86.61728000000001
PER,2,85.54092,84.42413,84.98252500000001
PHL,1,99.43544,99.43544,99.43544
PRI,1,100,100,100
QAT,2,100,100,100
KNA,2,100,100,100
VCT,1,16.23832,16.23832,16.23832
SAU,2,100,100,100
SEN,1,100,100,100
SRB,2,100,100,100
SYC,1,76.35328,76.35328,76.35328
SLE,1,51.92808,51.92808,51.92808
SXM,2,95.91195,68.91496,82.413455
SLB,2,68.63917,67.84836,68.243765
LKA,1,92.74474000000001,92.74474000000001,92.74474000000001
SUR,2,94.13611,93.56199000000001,93.84905
TJK,2,94.88727,94.05272,94.469995
TZA,1,98.98621,98.98621,98.98621
THA,1,100,100,100
TGO,1,66.29527,66.29527,66.29527
TON,1,99.55224,99.55224,99.55224
TUN,2,100,100,100
TCA,1,90.41096,90.41096,90.41096
UKR,2,84.75551999999999,84.30305,84.52928499999999
ARE,2,100,100,100
VUT,1,70.09298000000001,70.09298000000001,70.09298000000001
VNM,2,99.70617,89.17815,94.44216
ZMB,1,65.90218,65.90218,65.90218
ZWE,1,74.29868,74.29868,74.29868
