quality_id,country_code,teacher_percentage,year
1,ALB,68.22726,2013
2,ALB,72.47414,2014
3,AND,100,2013
4,AND,100,2014
5,BHR,95.99429,2013
6,BHR,96.26799,2014
7,BRB,100,2014
8,BLR,99.43706999999999,2014
9,BLZ,46.500640000000004,2013
10,BLZ,28.82378,2014
11,BEN,66.97951,2013
12,BEN,100,2014
13,BMU,100,2014
14,BWA,99.53284000000001,2012
15,BWA,98.63651,2013
16,BRN,47.82717,2014
17,BFA,85.58639000000001,2013
18,BDI,94.04415,2013
19,BDI,91.44112,2014
20,KHM,100,2013
21,KHM,100,2014
22,CMR,57.514559999999996,2014
23,CPV,91.23103,2014
24,CYM,88.11881,2013
25,COL,92.25733000000001,2013
26,COL,94.25102,2014
27,COM,75.05784,2013
28,CIV,89.55503,2013
29,CIV,88.27089000000001,2014
30,CUB,80.43943,2013
31,CUB,81.39035,2014
32,COD,100,2014
33,DJI,83.46253,2014
34,DJI,100,2015
35,DMA,91.68242,2013
36,DMA,64.81481,2014
37,DOM,81.26603,2013
38,DOM,81.26632,2014
39,EGY,83.75706,2013
40,EGY,85.15630999999999,2014
41,ERI,99.67742,2013
42,SWZ,65.78112,2013
43,ETH,54.3563,2014
44,GMB,84.1104,2014
45,GHA,50.02265,2014
46,GHA,54.69452,2015
47,GRD,53.714290000000005,2013
48,GRD,48.66962,2014
49,GIN,74.1184,2013
50,GIN,70.69693000000001,2014
51,HKG,100,2013
52,HKG,100,2014
53,IRN,100,2013
54,IRN,100,2014
55,JAM,69.75549000000001,2013
56,JAM,95.66155,2014
57,KAZ,100,2014
58,KAZ,100,2015
59,KIR,96.90554,2014
60,KWT,76.42531,2013
61,KWT,77.36805,2014
62,KGZ,73.02015,2013
63,KGZ,73.69431999999999,2014
64,LAO,78.90181,2013
65,LAO,82.62515,2014
66,LSO,72.03285,2013
67,LSO,75.7858,2014
68,MAC,100,2013
69,MAC,100,2014
70,MDG,99.30696,2014
71,MYS,100,2013
72,MYS,100,2014
73,MDV,90.1202,2013
74,MDV,86.05711,2014
75,MUS,100,2013
76,MUS,100,2014
77,MNG,99.57279,2013
78,MNG,97.93064,2014
79,MAR,100,2013
80,MAR,100,2014
81,MOZ,87.32589,2013
82,MOZ,89.95685,2014
83,NRU,50,2014
84,NPL,91.89711,2014
85,NPL,93.85136999999999,2015
86,NER,100,2013
87,NER,100,2014
88,PSE,43.93159,2013
89,PSE,46.79377,2014
90,PAN,100,2013
91,PRY,86.61728000000001,2012
92,PER,85.54092,2013
93,PER,84.42413,2014
94,PHL,99.43544,2013
95,PRI,100,2013
96,QAT,100,2013
97,QAT,100,2014
98,KNA,100,2013
99,KNA,100,2014
100,VCT,16.23832,2014
101,SAU,100,2013
102,SAU,100,2014
103,SEN,100,2014
104,SRB,100,2013
105,SRB,100,2014
106,SYC,76.35328,2014
107,SLE,51.92808,2013
108,SXM,95.91195,2012
109,SXM,68.91496,2014
110,SLB,67.84836,2013
111,SLB,68.63917,2014
112,LKA,92.74474000000001,2013
113,SUR,93.56199000000001,2013
114,SUR,94.13611,2014
115,TJK,94.05272,2014
116,TJK,94.88727,2015
117,TZA,98.98621,2013
118,THA,100,2014
119,TGO,66.29527,2013
120,TON,99.55224,2013
121,TUN,100,2013
122,TUN,100,2014
123,TCA,90.41096,2015
124,UKR,84.30305,2013
125,UKR,84.75551999999999,2014
126,ARE,100,2013
127,ARE,100,2014
128,VUT,70.09298000000001,2013
129,VNM,89.17815,2013
130,VNM,99.70617,2014
131,ZMB,65.90218,2013
132,ZWE,74.29868,2013
